мова,категория,артикуль,ціна,назва,опис,характеристики
ro,кастрюли,28827,29,"Oală Krauff Moxie 6,5 l +CADOU: Suport Krauff Galaxy","Oală Krauff Moxie cu capac din sticlă 6,5 l ⌀24 cm; Suport pentru vase fierbinți Krauff Galaxy.","-grosimea peretelui 0,5mm;
-mânere cu inserții de silicon;
-fund de inducție termoaccumulator cu 5 straturi;
-lustruire oglindă în exterior și interior;
-posibilitate de scurgere a lichidelor datorită construcției oalei (cioc), capac special cu orificii de scurgere."
no,кастрюли,28827,29,"Kasserolle Krauff Moxie 6,5 l +GAVE: Underlag Krauff Galaxy","Kasserolle Krauff Moxie med glasslokk 6,5 l ⌀24 cm; Varmunderlag Krauff Galaxy.","-veggtykkelse 0,5mm;
-håndtak med silikoninnlegg;
-5-lags varmeholden induksjonsbunn;
-speilpolering utvendig og innvendig;
-mulighet for avrenning av væske takket være kasserollens konstruksjon (tut), spesiallokk med avrenningsåpninger."
uk,кастрюли,55-333-641,52,"Каструля з кришкою Smart Fry 2,3л, 6,6л","Каструля з кришкою Smart Fry 2,3л, Каструля з кришкою Smart Fry 6,6л","5-слойное капсульное дно;
Совместимость со всеми типами плит;
нержавеющая сталь 18/10 премиум-класса;"
ru,кастрюли,55-333-641,52,"Кастрюля с крышкой Smart Fry 2,3л, 6,6л","Кастрюля с крышкой Smart Fry 2,3л, Кастрюля с крышкой Smart Fry 6,6л","5-слойное капсульное дно;
Совместимость со всеми типами плит;
Нержавеющая сталь 18/10 премиум-класса;"
de,кастрюли,55-333-641,52,"Topf mit Deckel Smart Fry 2,3l, 6,6l","Topf mit Deckel Smart Fry 2,3l, Topf mit Deckel Smart Fry 6,6l","5-lagiger Kapselboden;
Kompatibel mit allen Herdarten;
Edelstahl 18/10 der Premiumklasse;"
ro,кастрюли,55-333-641,52,"Oală cu capac Smart Fry 2,3l, 6,6l","Oală cu capac Smart Fry 2,3l, Oală cu capac Smart Fry 6,6l","Fund capsulat cu 5 straturi;
Compatibil cu toate tipurile de aragaze;
Oțel inoxidabil 18/10 premium;"
no,кастрюли,55-333-641,52,"Kasserolle med lokk Smart Fry 2,3l, 6,6l","Kasserolle med lokk Smart Fry 2,3l, Kasserolle med lokk Smart Fry 6,6l","5-lags kapselbunnbunn;
Kompatibel med alle komfyrtyper;
Premium rustfritt stål 18/10;"
uk,кастрюли,55-333-571,47,"Набір з 2-х каструль Prime Chef Krauff 3.6л, 6.1л + ПОДАРУНОК: Лопатка, ополоник, пензлик","Каструля Prime Chef Krauff 6,1 л Скляна кришка Каструля Prime Chef Krauff 3,6 л Скляна кришка Лопатка Galaxy Ополоник Galaxy Пензлик Galaxy","Нержавеющая сталь 18/10;
5-слойное капсульное дно;
Совместимость со всеми плитами;
Складные бакелитовые ручки;
Встроенная мерная шкала;
Стеклянные крышки."
ru,кастрюли,55-333-571,47,"Набор из 2-х кастрюль Prime Chef Krauff 3,6л, 6,1л + ПОДАРОК: Лопатка, половник, кисточка","Кастрюля Prime Chef Krauff 6,1 л Стеклянная крышка Кастрюля Prime Chef Krauff 3,6 л Стеклянная крышка Лопатка Galaxy Половник Galaxy Кисточка Galaxy","Нержавеющая сталь 18/10;
5-слойное капсульное дно;
Совместимость со всеми плитами;
Складные бакелитовые ручки;
Встроенная мерная шкала;
Стеклянные крышки."
de,кастрюли,55-333-571,47,"Set aus 2 Töpfen Prime Chef Krauff 3,6l, 6,1l + GESCHENK: Pfannenwender, Schöpflöffel, Pinsel","Topf Prime Chef Krauff 6,1 l Glasdeckel Topf Prime Chef Krauff 3,6 l Glasdeckel Pfannenwender Galaxy Schöpflöffel Galaxy Pinsel Galaxy","Edelstahl 18/10;
5-lagiger Kapselboden;
Kompatibel mit allen Herdarten;
Klappbare Bakelit-Griffe;
Integrierte Maßskala;
Glasdeckel."
ro,кастрюли,55-333-571,47,"Set din 2 oale Prime Chef Krauff 3,6l, 6,1l + CADOU: Spatulă, polonic, pensulă","Oală Prime Chef Krauff 6,1 l Capac din sticlă Oală Prime Chef Krauff 3,6 l Capac din sticlă Spatulă Galaxy Polonic Galaxy Pensulă Galaxy","Oțel inoxidabil 18/10;
Fund capsulat cu 5 straturi;
Compatibil cu toate tipurile de aragaze;
Mânere rabatabile din bachelită;
Scară gradată integrată;
Capace din sticlă."
no,кастрюли,55-333-571,47,"Sett med 2 kasseroller Prime Chef Krauff 3,6l, 6,1l + GAVE: Stekespade, suppeskje, pensel","Kasserolle Prime Chef Krauff 6,1 l Glasslokk Kasserolle Prime Chef Krauff 3,6 l Glasslokk Stekespade Galaxy Suppeskje Galaxy Pensel Galaxy","Rustfritt stål 18/10;
5-lags kapselbunnbunn;
Kompatibel med alle komfyrtyper;
Foldbare bakelit-håndtak;
Integrert literskala;
Glasslokk."
uk,кастрюли,55-333-387,39,"Каструля з кришкою 3,4 л Steil та Сковорода-гриль","Каструля з нержавіючої сталі 3,4 л Ø20 см Krauff; Ложка кулінарна силіконова Schoco.","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с выпуском пара;
мерная шкала;
можно мыть в посудомоечной машине;
совместимость со всеми видами плит"
ru,кастрюли,55-333-387,39,"Кастрюля с крышкой 3,4 л Steil и Сковорода-гриль","Кастрюля из нержавеющей стали 3,4 л Ø20 см Krauff; Ложка кулинарная силиконовая Schoco.","5-слойное термоаккумулирующее дно;
Высококачественная нержавеющая сталь (18/10);
Крышка с выпуском пара;
Мерная шкала;
Можно мыть в посудомоечной машине;
Совместимость со всеми видами плит"
de,кастрюли,55-333-387,39,"Topf mit Deckel 3,4 l Steil und Grillpfanne","Topf aus Edelstahl 3,4 l Ø20 cm Krauff; Silikonlöffel Schoco.","5-lagiger wärmespeichernder Boden;
Hochwertiger Edelstahl (18/10);
Deckel mit Dampfventil;
Maßskala;
Spülmaschinenfest;
Kompatibel mit allen Herdarten"
ro,кастрюли,55-333-387,39,"Oală cu capac 3,4 l Steil și Tigaie grill","Oală din oțel inoxidabil 3,4 l Ø20 cm Krauff; Lingură culinară din silicon Schoco.","Fund termoaccumulator cu 5 straturi;
Oțel inoxidabil de înaltă calitate (18/10);
Capac cu supapă de abur;
Scară gradată;
Poate fi spălat în mașina de spălat vase;
Compatibil cu toate tipurile de aragaze"
no,кастрюли,55-333-387,39,"Kasserolle med lokk 3,4 l Steil og Grillpanne","Kasserolle i rustfritt stål 3,4 l Ø20 cm Krauff; Silikonmatskje Schoco.","5-lags varmeholden bunn;
Høykvalitets rustfritt stål (18/10);
Lokk med dampventil;
Måleskalering;
Oppvaskmaskinfast;
Kompatibel med alle komfyrtyper"
uk,кастрюли,28483,41,Набір каструль Steil та сковорідки Hamburg,Каструля Krauff Steil 4.5 л з кришкою Каструля Krauff Steil 3.4 л з кришкою Сковорода Hamburg 20 см,"Нержавеющая сталь 18/10
Антипригарное покрытие
Мерная шкала в кастрюлях
Термостойкие ручки на заклёпках
Подходят для всех типов плит"
ru,кастрюли,28483,41,Набор кастрюль Steil и сковороды Hamburg,"Кастрюля Krauff Steil 4,5 л с крышкой Кастрюля Krauff Steil 3,4 л с крышкой Сковорода Hamburg 20 см","Нержавеющая сталь 18/10
Антипригарное покрытие
Мерная шкала в кастрюлях
Термостойкие ручки на заклёпках
Подходят для всех типов плит"
de,кастрюли,28483,41,Topfset Steil und Pfanne Hamburg,"Topf Krauff Steil 4,5 l mit Deckel Topf Krauff Steil 3,4 l mit Deckel Pfanne Hamburg 20 cm","Edelstahl 18/10
Antihaftbeschichtung
Maßskala in den Töpfen
Hitzebeständige Griffe mit Nieten
Geeignet für alle Herdarten"
ro,кастрюли,28483,41,Set oale Steil și tigaie Hamburg,"Oală Krauff Steil 4,5 l cu capac Oală Krauff Steil 3,4 l cu capac Tigaie Hamburg 20 cm","Oțel inoxidabil 18/10
Acoperire antiaderentă
Scară gradată în oale
Mânere termorezistente cu nituri
Potrivit pentru toate tipurile de aragaze"
no,кастрюли,28483,41,Kasserolle-sett Steil og stekepanne Hamburg,"Kasserolle Krauff Steil 4,5 l med lokk Kasserolle Krauff Steil 3,4 l med lokk Stekepanne Hamburg 20 cm","Rustfritt stål 18/10
Non-stick belegg
Måleskalering i kasserollene
Varmebestandige håndtak med nagler
Passer til alle komfyrtyper"
uk,кастрюли,55-333-621,78,Набір каструль Fry Power,"Каструля Fry Power 2,3 л з кришкою; Каструля Fry Power 4,2 л з кришкою; Каструля Fry Power 6,4 л з кришкою;","Кованый алюминий;
Антипригарное покрытие PTFE;
Наружное мраморное покрытие;
Стеклянные крышки с отверстием для пара;
Совместимость со всеми плитами."
ru,кастрюли,55-333-621,78,Набор кастрюль Fry Power,"Кастрюля Fry Power 2,3 л с крышкой; Кастрюля Fry Power 4,2 л с крышкой; Кастрюля Fry Power 6,4 л с крышкой;","Кованый алюминий;
Антипригарное покрытие PTFE;
Наружное мраморное покрытие;
Стеклянные крышки с отверстием для пара;
Совместимость со всеми плитами."
de,кастрюли,55-333-621,78,Topfset Fry Power,"Topf Fry Power 2,3 l mit Deckel; Topf Fry Power 4,2 l mit Deckel; Topf Fry Power 6,4 l mit Deckel;","Geschmiedetes Aluminium;
Antihaftbeschichtung PTFE;
Äußere Marmorierung;
Glasdeckel mit Dampfventil;
Kompatibel mit allen Herdarten."
ro,кастрюли,55-333-621,78,Set oale Fry Power,"Oală Fry Power 2,3 l cu capac; Oală Fry Power 4,2 l cu capac; Oală Fry Power 6,4 l cu capac;","Aluminiu forjat;
Acoperire antiaderentă PTFE;
Acoperire exterioară marmurată;
Capace din sticlă cu orificiu pentru abur;
Compatibil cu toate tipurile de aragaze."
no,кастрюли,55-333-621,78,Kasserolle-sett Fry Power,"Kasserolle Fry Power 2,3 l med lokk; Kasserolle Fry Power 4,2 l med lokk; Kasserolle Fry Power 6,4 l med lokk;","Smidd aluminium;
Non-stick belegg PTFE;
Eksternt marmorert belegg;
Glasslokk med dampventil;
Kompatibel med alle komfyrtyper."
uk,кастрюли,28471,40,"Набір із 2-х каструль Steil Krauff та Ківша 1,2 л Steil","Каструля 3,4л зі скляною кришкою Steil 20см; Каструля 4,5л зі скляною кришкою Steil 22см; Ківш 1,2л зі скляною кришкою діаметр 14см;","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с паровыпуском; мерная шкала;
можно мыть в посудомоечной машине."
ru,кастрюли,28471,40,"Набор из 2-х кастрюль Steil Krauff и Ковша 1,2 л Steil","Кастрюля 3,4л со стеклянной крышкой Steil 20см; Кастрюля 4,5л со стеклянной крышкой Steil 22см; Ковш 1,2л со стеклянной крышкой диаметр 14см;","5-слойное термоаккумулирующее дно;
Высококачественная нержавеющая сталь (18/10);
Крышка с паровыпуском; мерная шкала;
Можно мыть в посудомоечной машине."
de,кастрюли,28471,40,"Set aus 2 Töpfen Steil Krauff und Schöpfkelle 1,2 l Steil","Topf 3,4l mit Glasdeckel Steil 20cm; Topf 4,5l mit Glasdeckel Steil 22cm; Schöpfkelle 1,2l mit Glasdeckel Durchmesser 14cm;","5-lagiger wärmespeichernder Boden;
Hochwertiger Edelstahl (18/10);
Deckel mit Dampfventil; Maßskala;
Spülmaschinenfest."
ro,кастрюли,28471,40,"Set din 2 oale Steil Krauff și Polonic 1,2 l Steil","Oală 3,4l cu capac din sticlă Steil 20cm; Oală 4,5l cu capac din sticlă Steil 22cm; Polonic 1,2l cu capac din sticlă diametru 14cm;","Fund termoaccumulator cu 5 straturi;
Oțel inoxidabil de înaltă calitate (18/10);
Capac cu supapă de abur; scară gradată;
Poate fi spălat în mașina de spălat vase."
no,кастрюли,28471,40,"Sett med 2 kasseroller Steil Krauff og Øse 1,2 l Steil","Kasserolle 3,4l med glasslokk Steil 20cm; Kasserolle 4,5l med glasslokk Steil 22cm; Øse 1,2l med glasslokk diameter 14cm;","5-lags varmeholden bunn;
Høykvalitets rustfritt stål (18/10);
Lokk med dampventil; måleskalering;
Oppvaskmaskinfast."
uk,кастрюли,28528,33,"Каструля з кришкою 2,7л та ківш з кришкою 2л Prime Chef Krauff","Каструля з кришкою 2,7 л ⌀18см Prime Chef; Ківш з кришкою 2 л ⌀16см Prime Chef;","Подходит для всех видов плит
Термоаккумулирующее 5-ти слойное дно
Эргономичные ручки
Термостойкая градация литража
Термостойкое стекло с отверстием для выхода пара"
ru,кастрюли,28528,33,"Кастрюля с крышкой 2,7л и ковш с крышкой 2л Prime Chef Krauff","Кастрюля с крышкой 2,7 л ⌀18см Prime Chef; Ковш с крышкой 2 л ⌀16см Prime Chef;","Подходит для всех видов плит
Термоаккумулирующее 5-слойное дно
Эргономичные ручки
Термостойкая градация литража
Термостойкое стекло с отверстием для выхода пара"
de,кастрюли,28528,33,"Topf mit Deckel 2,7l und Schöpfkelle mit Deckel 2l Prime Chef Krauff","Topf mit Deckel 2,7 l ⌀18cm Prime Chef; Schöpfkelle mit Deckel 2 l ⌀16cm Prime Chef;","Geeignet für alle Herdarten
5-lagiger wärmespeichernder Boden
Ergonomische Griffe
Hitzebeständige Litermarkierung
Hitzebeständiges Glas mit Dampfventil"
ro,кастрюли,28528,33,"Oală cu capac 2,7l și polonic cu capac 2l Prime Chef Krauff","Oală cu capac 2,7 l ⌀18cm Prime Chef; Polonic cu capac 2 l ⌀16cm Prime Chef;","Potrivit pentru toate tipurile de aragaze
Fund termoaccumulator cu 5 straturi
Mânere ergonomice
Gradație de litraj termorezistentă
Sticlă termorezistentă cu orificiu pentru abur"
no,кастрюли,28528,33,"Kasserolle med lokk 2,7l og øse med lokk 2l Prime Chef Krauff","Kasserolle med lokk 2,7 l ⌀18cm Prime Chef; Øse med lokk 2 l ⌀16cm Prime Chef;","Passer til alle komfyrtyper
5-lags varmeholden bunn
Ergonomiske håndtak
Varmebestandig literskala
Varmebestandig glass med dampventil"
uk,кастрюли,55-333-464,67,Набір каструль Prime Chef Krauff 8 предметів,"Ківш з кришкою 2л Ø 16см; Каструля з кришкою 2.7л Ø 18см; Каструля з кришкою 4,7л Ø 22см; Каструля з кришкою 2,0 л ⌀16 см;","Термоаккумулирующее 5-ти слойное дно.
Эргономичные ручки.
Термостойкая градация литража.
Термостойкое стекло с отверстием для выхода пара."
ru,кастрюли,55-333-464,67,Набор кастрюль Prime Chef Krauff 8 предметов,"Ковш с крышкой 2л Ø 16см; Кастрюля с крышкой 2,7л Ø 18см; Кастрюля с крышкой 4,7л Ø 22см; Кастрюля с крышкой 2,0 л ⌀16 см;","Термоаккумулирующее 5-слойное дно.
Эргономичные ручки.
Термостойкая градация литража.
Термостойкое стекло с отверстием для выхода пара."
de,кастрюли,55-333-464,67,Topfset Prime Chef Krauff 8-teilig,"Schöpfkelle mit Deckel 2l Ø 16cm; Topf mit Deckel 2,7l Ø 18cm; Topf mit Deckel 4,7l Ø 22cm; Topf mit Deckel 2,0 l ⌀16 cm;","5-lagiger wärmespeichernder Boden.
Ergonomische Griffe.
Hitzebeständige Litermarkierung.
Hitzebeständiges Glas mit Dampfventil."
ro,кастрюли,55-333-464,67,Set oale Prime Chef Krauff 8 piese,"Polonic cu capac 2l Ø 16cm; Oală cu capac 2,7l Ø 18cm; Oală cu capac 4,7l Ø 22cm; Oală cu capac 2,0 l ⌀16 cm;","Fund termoaccumulator cu 5 straturi.
Mânere ergonomice.
Gradație de litraj termorezistentă.
Sticlă termorezistentă cu orificiu pentru abur."
no,кастрюли,55-333-464,67,Kasserolle-sett Prime Chef Krauff 8 deler,"Øse med lokk 2l Ø 16cm; Kasserolle med lokk 2,7l Ø 18cm; Kasserolle med lokk 4,7l Ø 22cm; Kasserolle med lokk 2,0 l ⌀16 cm;","5-lags varmeholden bunn.
Ergonomiske håndtak.
Varmebestandig literskala.
Varmebestandig glass med dampventil."
uk,кастрюли,28718,121,Набір кастрюль з ковшем 10 предметів Cook&Joy,"Ковш 1,8 л з кришкою Каструля 2,5 л Каструля 3,5 л Каструля 4,6 л Каструля 5,8 л","Нержавеющая сталь 18/10 — прочность и гигиена
5-слойное капсульное дно — равномерное тепло без пригорания
Функциональные крышки из закаленного стекла
Внутренняя шкала — точность для ежедневных рецептов"
ru,кастрюли,28718,121,Набор кастрюль с ковшом 10 предметов Cook&Joy,"Ковш 1,8 л с крышкой Кастрюля 2,5 л Кастрюля 3,5 л Кастрюля 4,6 л Кастрюля 5,8 л","Нержавеющая сталь 18/10 — прочность и гигиена
5-слойное капсульное дно — равномерное тепло без пригорания
Функциональные крышки из закалённого стекла
Внутренняя шкала — точность для ежедневных рецептов"
de,кастрюли,28718,121,Topfset mit Schöpfkelle 10-teilig Cook&Joy,"Schöpfkelle 1,8 l mit Deckel Topf 2,5 l Topf 3,5 l Topf 4,6 l Topf 5,8 l","Edelstahl 18/10 — Robustheit und Hygiene
5-lagiger Kapselboden — gleichmäßige Wärme ohne Anbrennen
Funktionale Deckel aus gehärtetem Glas
Innere Maßskala — Präzision für tägliche Rezepte"
ro,кастрюли,28718,121,Set oale cu polonic 10 piese Cook&Joy,"Polonic 1,8 l cu capac Oală 2,5 l Oală 3,5 l Oală 4,6 l Oală 5,8 l","Oțel inoxidabil 18/10 — rezistență și igienă
Fund capsulat cu 5 straturi — căldură uniformă fără ardere
Capace funcționale din sticlă călită
Scară gradată interioară — precizie pentru rețetele zilnice"
no,кастрюли,28718,121,Kasserolle-sett med øse 10 deler Cook&Joy,"Øse 1,8 l med lokk Kasserolle 2,5 l Kasserolle 3,5 l Kasserolle 4,6 l Kasserolle 5,8 l","Rustfritt stål 18/10 — holdbarhet og hygiene
5-lags kapselbunnbunn — jevn varme uten å brenne
Funksjonelle lokk av herdet glass
Intern literskala — presisjon for daglige oppskrifter"
uk,кастрюли,28719,102,Набір каструль Elegance та ковша,"16x10,5см ківш з кришкою, 2,0л 20x11,5см каструля з кришкою, 3,7л 24x14,5см каструля з кришкою, 6,3л сковорода зі знімною ручкою, діам 26см.","Возможность слива жидкости, при фиксации крышки с помощью подвижных боковых ручек;
Геометрия ручки на крышке позволяет размещать кухонное оборудование;
Ручки с софт-тач покрытием."
ru,кастрюли,28719,102,Набор кастрюль Elegance и ковша,"16x10,5см ковш с крышкой, 2,0л 20x11,5см кастрюля с крышкой, 3,7л 24x14,5см кастрюля с крышкой, 6,3л сковорода со съёмной ручкой, диам 26см.","Возможность слива жидкости при фиксации крышки с помощью подвижных боковых ручек;
Геометрия ручки на крышке позволяет размещать кухонное оборудование;
Ручки с софт-тач покрытием."
de,кастрюли,28719,102,Topfset Elegance und Schöpfkelle,"16x10,5cm Schöpfkelle mit Deckel, 2,0l 20x11,5cm Topf mit Deckel, 3,7l 24x14,5cm Topf mit Deckel, 6,3l Pfanne mit abnehmbarem Griff, Ø 26cm.","Möglichkeit zum Abgießen von Flüssigkeiten beim Fixieren des Deckels mit beweglichen Seitengriffen;
Deckelgriff-Geometrie ermöglicht die Aufnahme von Küchengeräten;
Griffe mit Soft-Touch-Beschichtung."
ro,кастрюли,28719,102,Set oale Elegance și polonic,"16x10,5cm polonic cu capac, 2,0l 20x11,5cm oală cu capac, 3,7l 24x14,5cm oală cu capac, 6,3l tigaie cu mâner detașabil, diam 26cm.","Posibilitate de scurgere a lichidelor prin fixarea capacului cu mânere laterale mobile;
Geometria mânerului de pe capac permite plasarea echipamentelor de bucătărie;
Mânere cu acoperire soft-touch."
no,кастрюли,28719,102,Kasserolle-sett Elegance og øse,"16x10,5cm øse med lokk, 2,0l 20x11,5cm kasserolle med lokk, 3,7l 24x14,5cm kasserolle med lokk, 6,3l stekepanne med avtakbart håndtak, diam 26cm.","Mulighet for avrenning av væske ved låsing av lokket med bevegelige sidehåndtak;
Lokkhåndtakgeometrien gjør det mulig å plassere kjøkkenutstyr;
Håndtak med soft-touch belegg."
uk,кастрюли,28729,39,"Каструля 6,3 л Herzog Krauff","Каструля Krauff Herzog, зі скляною кришкою, 24 см, 6,3 л","Крышки с отверстиями для слива жидкости.
5-ти слойное термоаккумулирующее дно.
Градация литража"
ru,кастрюли,28729,39,"Кастрюля 6,3 л Herzog Krauff","Кастрюля Krauff Herzog, со стеклянной крышкой, 24 см, 6,3 л","Крышки с отверстиями для слива жидкости.
5-слойное термоаккумулирующее дно.
Градация литража"
de,кастрюли,28729,39,"Topf 6,3 l Herzog Krauff","Topf Krauff Herzog, mit Glasdeckel, 24 cm, 6,3 l","Deckel mit Abflussöffnungen.
5-lagiger wärmespeichernder Boden.
Litermarkierung"
ro,кастрюли,28729,39,"Oală 6,3 l Herzog Krauff","Oală Krauff Herzog, cu capac din sticlă, 24 cm, 6,3 l","Capace cu orificii de scurgere.
Fund termoaccumulator cu 5 straturi.
Gradație de litraj"
no,кастрюли,28729,39,"Kasserolle 6,3 l Herzog Krauff","Kasserolle Krauff Herzog, med glasslokk, 24 cm, 6,3 l","Lokk med avrenningsåpninger.
5-lags varmeholden bunn.
Literskala"
uk,кастрюли,55-333-374,39,Набір каструль із кришками Steil Krauff + ПОДАРУНКИ: Дошка обробна,"Каструля 3,4 л зі скляною кришкою Steil Ø20см; Каструля 2,5 л зі скляною кришкою Steil Ø18см; Каструля 4,5 л зі скляною кришкою Steil Ø22 см; Дошка обробна пластикова KuchenArt","5-слойное термоаккумулирующее дно,
высококачественная нержавеющая сталь (18/10),
крышка с выпуском пара,
мерная шкала,
можно мыть в посудомоечной машине."
ru,кастрюли,55-333-374,39,Набор кастрюль с крышками Steil Krauff + ПОДАРКИ: Разделочная доска,"Кастрюля 3,4 л со стеклянной крышкой Steil Ø20см; Кастрюля 2,5 л со стеклянной крышкой Steil Ø18см; Кастрюля 4,5 л со стеклянной крышкой Steil Ø22 см; Разделочная доска пластиковая KuchenArt","5-слойное термоаккумулирующее дно,
Высококачественная нержавеющая сталь (18/10),
Крышка с паровыпуском,
Мерная шкала,
Можно мыть в посудомоечной машине."
de,кастрюли,55-333-374,39,Topfset mit Deckeln Steil Krauff + GESCHENKE: Schneidebrett,"Topf 3,4 l mit Glasdeckel Steil Ø20cm; Topf 2,5 l mit Glasdeckel Steil Ø18cm; Topf 4,5 l mit Glasdeckel Steil Ø22 cm; Kunststoff-Schneidebrett KuchenArt","5-lagiger wärmespeichernder Boden,
Hochwertiger Edelstahl (18/10),
Deckel mit Dampfventil,
Maßskala,
Spülmaschinenfest."
ro,кастрюли,55-333-374,39,Set oale cu capace Steil Krauff + CADOURI: Tocător,"Oală 3,4 l cu capac din sticlă Steil Ø20cm; Oală 2,5 l cu capac din sticlă Steil Ø18cm; Oală 4,5 l cu capac din sticlă Steil Ø22 cm; Tocător din plastic KuchenArt","Fund termoaccumulator cu 5 straturi,
Oțel inoxidabil de înaltă calitate (18/10),
Capac cu supapă de abur,
Scară gradată,
Poate fi spălat în mașina de spălat vase."
no,кастрюли,55-333-374,39,Kasserolle-sett med lokk Steil Krauff + GAVER: Skjærebrett,"Kasserolle 3,4 l med glasslokk Steil Ø20cm; Kasserolle 2,5 l med glasslokk Steil Ø18cm; Kasserolle 4,5 l med glasslokk Steil Ø22 cm; Plastskjærebrett KuchenArt","5-lags varmeholden bunn,
Høykvalitets rustfritt stål (18/10),
Lokk med dampventil,
Måleskalering,
Oppvaskmaskinfast."
uk,кастрюли,55-333-400,45,Набір каструль 6 предметів Steil Krauff,"Каструля з кришкою Steil ⌀18 см — 2,5 л Каструля з кришкою Steil ⌀20 см — 3,4 л Каструля з кришкою Steil ⌀22 см — 4,5 л","5-слойное термоаккумулирующее дно;
высококачественная нержавеющая сталь (18/10);
крышка с выпуском пара;
мерная шкала;
можно мыть в посудомоечной машине."
ru,кастрюли,55-333-400,45,Набор кастрюль 6 предметов Steil Krauff,"Кастрюля с крышкой Steil ⌀18 см — 2,5 л Кастрюля с крышкой Steil ⌀20 см — 3,4 л Кастрюля с крышкой Steil ⌀22 см — 4,5 л","5-слойное термоаккумулирующее дно;
Высококачественная нержавеющая сталь (18/10);
Крышка с паровыпуском;
Мерная шкала;
Можно мыть в посудомоечной машине."
de,кастрюли,55-333-400,45,Topfset 6-teilig Steil Krauff,"Topf mit Deckel Steil ⌀18 cm — 2,5 l Topf mit Deckel Steil ⌀20 cm — 3,4 l Topf mit Deckel Steil ⌀22 cm — 4,5 l","5-lagiger wärmespeichernder Boden;
Hochwertiger Edelstahl (18/10);
Deckel mit Dampfventil;
Maßskala;
Spülmaschinenfest."
ro,кастрюли,55-333-400,45,Set oale 6 piese Steil Krauff,"Oală cu capac Steil ⌀18 cm — 2,5 l Oală cu capac Steil ⌀20 cm — 3,4 l Oală cu capac Steil ⌀22 cm — 4,5 l","Fund termoaccumulator cu 5 straturi;
Oțel inoxidabil de înaltă calitate (18/10);
Capac cu supapă de abur;
Scară gradată;
Poate fi spălat în mașina de spălat vase."
no,кастрюли,55-333-400,45,Kasserolle-sett 6 deler Steil Krauff,"Kasserolle med lokk Steil ⌀18 cm — 2,5 l Kasserolle med lokk Steil ⌀20 cm — 3,4 l Kasserolle med lokk Steil ⌀22 cm — 4,5 l","5-lags varmeholden bunn;
Høykvalitets rustfritt stål (18/10);
Lokk med dampventil;
Måleskalering;
Oppvaskmaskinfast."
uk,кухонные аксессуары,55-333-410,49,Набір ножів на підставці Prime Chef Krauff,"Підставка; ніж повара 20,5 см; ніж слайсерний 20,8 см; ніж для хліба 20,8 см; ніж універсальний 12,8 см; ніж для чистки овочів 9,5 см;","Цельнометаллическая конструкция
Высококачественная нержавеющая сталь
Эргономичные ручки
Стильный дизайн"
ru,кухонные аксессуары,55-333-410,49,Набор ножей на подставке Prime Chef Krauff,"Подставка; нож повара 20,5 см; нож слайсерный 20,8 см; нож для хлеба 20,8 см; нож универсальный 12,8 см; нож для чистки овощей 9,5 см;","Цельнометаллическая конструкция
Высококачественная нержавеющая сталь
Эргономичные ручки
Стильный дизайн"
de,кухонные аксессуары,55-333-410,49,Messer-Set auf Halter Prime Chef Krauff,"Halter; Kochmesser 20,5 cm; Schnitzmesser 20,8 cm; Brotmesser 20,8 cm; Universalmesser 12,8 cm; Gemüseschälmesser 9,5 cm;","Vollmetallkonstruktion
Hochwertiger Edelstahl
Ergonomische Griffe
Stilvolles Design"
ro,кухонные аксессуары,55-333-410,49,Set cuțite pe suport Prime Chef Krauff,"Suport; cuțit de bucătar 20,5 cm; cuțit de feliat 20,8 cm; cuțit pentru pâine 20,8 cm; cuțit universal 12,8 cm; cuțit pentru curățat legume 9,5 cm;","Construcție integral metalică
Oțel inoxidabil de înaltă calitate
Mânere ergonomice
Design elegant"
no,кухонные аксессуары,55-333-410,49,Kniv-sett på holder Prime Chef Krauff,"Holder; kokniv 20,5 cm; skjærekniv 20,8 cm; brødkniv 20,8 cm; universalkniv 12,8 cm; grønnsakskniv 9,5 cm;","Helmetallikonstruksjon
Høykvalitets rustfritt stål
Ergonomiske håndtak
Stilfullt design"
uk,кухонные аксессуары,55-333-418,46,Набір ножів Luxus,Набір ножів Luxus 5 предметів на підставці,"Лезвия из высококачественной стали X30Cr14 - устойчивы к коррозии, долго остаются острыми
Эргономичные ручки из ABS-пластика - прочные, не скользят, приятные на ощупь
Идеальны для ежедневного использования на любой кухне"
ru,кухонные аксессуары,55-333-418,46,Набор ножей Luxus,Набор ножей Luxus 5 предметов на подставке,"Лезвия из высококачественной стали X30Cr14 — устойчивы к коррозии, долго остаются острыми
Эргономичные ручки из ABS-пластика — прочные, не скользят, приятные на ощупь
Идеальны для ежедневного использования на любой кухне"
de,кухонные аксессуары,55-333-418,46,Messer-Set Luxus,Messer-Set Luxus 5-teilig auf Halter,"Klingen aus hochwertigem Stahl X30Cr14 — korrosionsbeständig, langanhaltend scharf
Ergonomische Griffe aus ABS-Kunststoff — robust, rutschfest, angenehm zu greifen
Ideal für den täglichen Einsatz in jeder Küche"
